MCC;TCC;MCC Category;Категория МСС;MCC Sub-Category;Подкатегория МСС;Description;Группа МСС;
3263;X;Transportation;Перевозки;Airlines;Авиакомпании;Aero Servicio Carabobo—ASERCA;;
3266;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Seychelles—AIR SEYC;;
3267;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Panama International—AIR PANA;;
3280;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Jamaica—AIR JAMA;;
3282;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Djibouti—AIR DJIB;;
3284;X;Transportation;Перевозки;Airlines;Авиакомпании;Aero Virgin Islands;;
3285;X;Transportation;Перевозки;Airlines;Авиакомпании;Aero Peru—AEROPERU;;
3286;X;Transportation;Перевозки;Airlines;Авиакомпании;Aero Nicaraguenses—AERO NIC;;
3287;X;Transportation;Перевозки;Airlines;Авиакомпании;Aero Coach Aviation—AEROCOAC;;
3292;X;Transportation;Перевозки;Airlines;Авиакомпании;Cyprus Airways—CYPRUSA;;
3293;X;Transportation;Перевозки;Airlines;Авиакомпании;Ecuatoriana—ECUATORI;;
3294;X;Transportation;Перевозки;Airlines;Авиакомпании;Ethiopian Airlines—ETHIOPIA;;
3295;X;Transportation;Перевозки;Airlines;Авиакомпании;Kenya Airways—KENYAAIR;;
3296;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Berlin—AIRBERLIN;;
3297;X;Transportation;Перевозки;Airlines;Авиакомпании;Tarom Romanian Air Transport—TAROM AIR;;
3298;X;Transportation;Перевозки;Airlines;Авиакомпании;Air Mauritius—AIRMAURI;;
3299;X;Transportation;Перевозки;Airlines;Авиакомпании;Wideroes Flyveselskap—WIDEROES;;
3351;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Affiliated Auto Rental;Объединенный прокат автомобилей;
3352;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;American International;Американский международный;
3353;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Brooks Rent-A-Car;Прокат автомобилей Брукса;
3354;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Action Auto Rental;Прокат автомобилей Аукцион;
3355;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;SIXT Car Rental;Прокат автомобилей СИКСТ;
3357;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Hertz;Корпорация Херц;
3359;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Payless Car Rental;Прокат автомобилей Пейлесс;
3360;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Snappy Car Rental;Прокат автомобилей Снэппи;
3361;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Airways Rent-A-Car;Прокат автомобилей Эйрвэйз;
3362;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Altra Auto Rental;Прокат Автомобилей Алтра;
3364;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Agency Rent-A-Car;Прокат Автомобилей Агентство;
3366;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Budget Rent-A-Car;Прокат Автомобилей Бюджет;
3368;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Holiday Rent-A-Car;Прокат Автомобилей Выходной;
3370;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Rent A Wreck;Рент э Рек;
3374;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Accent Rent-A-Car;Прокат Автомобилей Акцент;
3376;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Ajax Rent-A-Car;Прокат автомобилей Аякс;
3380;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Triangle Rent-A-Car;Прокат автомобилей Треугольник;
3381;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Europcar;Европейский автомобиль;
3385;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Tropical Rent-A-Car;Тропический Прокат Автомобилей;
3386;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Showcase Rental Cars;Прокат Автомобилей Витрина;
3387;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Alamo Rent-A-Car;Прокат Автомобилей Аламо;
3388;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Merchants Rent-A-Car;Прокат Автомобилей Отделения;
3389;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Avis Rent-A-Car;Прокат автомобилей Ави;
3390;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Dollar Rent-A-Car;Прокат автомобилей Доллар;
3391;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Europe By Car;Юйроп Биви Карз;
3393;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;National Car Rental;Внутренний Прокат автомобилей;
3394;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Kemwell Group Rent-A-Car;Прокат Автомобилей Кемвелл Групп;
3395;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Thrifty Car Rental;Прокат автомобилей Трифти;
3396;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Tilden Rent-A-Car;Прокат Автомобилей Тилден;
3398;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Econo Car Rent-A-Car;Прокат Автомобилей Эконо;
3400;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Auto Host Car Rental;Прокат автомобилей Авто Хост;
3405;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Enterprise Rent-A-Car;Прокат автомобилей Энтерпрайз;
3409;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;General Rent-A-Car;Общий Прокат автомобилей;
3412;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;A1 Rent-A-Car;Прокат Автомобилей А1;
3414;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Godfrey National Rent-A-Car;Внутренний Прокат автомобилей Годфри;
3420;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;ANSA International;Международный прокат ANSA;
3421;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Allstate Rent-A-Car;Прокат автомобилей Оллстейт;
3423;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Avcar Rent-A-Car;Прокат автомобилей Авкар;
3425;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Automate Rent-A-Car;Прокат автомобилей Автомат;
3427;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Avon Rent-A-Car;Прокат автомобилей Эйвон;
3428;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Carey Rent-A-Car;Прокат Автомобилей Кери;
3429;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Insurance Rent-A-Car;Прокат автомобилей Страховка;
3430;A;Rentals;Аренда;Car Rental Agencies;Прокат автомобилей;Major Rent-A-Car;Прокат Автомобилей Майор;
